Sample	Exposure	Replicate	H3K9K14ac	H3K27ac	H3
Untreated	1.00	1	0.013449866299335	0.096949551758935	0.434102915945635
Untreated	1.00	2	0.154402175901510	0.149798399279049	0.040651882434416
Untreated	1.00	3	0.147135529126161	0.044332339596543	0.312782851775256
TSA	2.00	1	1.000000000000000	1.000000000000000	0.262819459718661
TSA	2.00	2	1.000000000000000	1.000000000000000	0.171754535593827
TSA	2.00	3	1.000000000000000	1.000000000000000	0.629781638425532
Carbidopa IC50	3.00	1	0.000000000000000	0.001915752368383	1.000000000000000
Carbidopa IC50	3.00	2	0.099651646277271	0.048227280516626	0.045890230809298
Carbidopa IC50	3.00	3	0.060284632135609	0.041964755693790	0.813807180096156
Carbidopa Treat	4.00	1	0.058130226179217	0.026313019749055	0.464967833597505
Carbidopa Treat	4.00	2	0.139601849186382	0.065004504156240	0.000000000000000
Carbidopa Treat	4.00	3	0.051311497547614	0.057817986239301	0.491478203578430
Entacapone IC50	5.00	1	0.053814488997558	0.125330487219244	0.369499205188607
Entacapone IC50	5.00	2	0.094384896860825	0.094920145028702	0.057803547100267
Entacapone IC50	5.00	3	0.078265425640296	0.065612092431146	0.172078713169979
Entacapone Treat	6.00	1	0.022374127543264	0.101743687422083	0.219379012234877
Entacapone Treat	6.00	2	0.050810674030844	0.072695564750351	0.308008408782536
Entacapone Treat	6.00	3	0.045986390457097	0.075032604714083	0.068752904275050
Ropinirole	7.00	1	0.129333000292011	0.089076289288443	0.000000000000000
Ropinirole	7.00	2	0.101209706076108	0.039790728337022	0.245809209929613
Ropinirole	7.00	3	0.032231397733238	0.036977930085657	0.000000000000000
L-Dopa	8.00	1	0.062984349270664	0.000000000000000	0.051602833424825
L-Dopa	8.00	2	0.000000000000000	0.000000000000000	1.000000000000000
L-Dopa	8.00	3	0.000000000000000	0.000000000000000	0.136884334825148
