Gene	GWAS_Nalls2019	Monogenic PD	PD neuropathology
ASXL3	YES		
BAG3	YES		
BIN3	YES		
BRIP1	YES		
BST1	YES		
C5orf24	YES		
CAB39L	YES		
CAMK2D	YES		
CASC16	YES		
CD19	YES		
CHD9	YES		
CHRNB1	YES		
CLCN3	YES		
CRHR1	YES		
CRLS1	YES		
CTSB	YES		
DLG2	YES		
DNAH17	YES		
DYRK1A	YES		
ELOVL7	YES		
FAM171A2	YES		
FAM47E	YES		
FAM47E-STBD1	YES		
FAM49B	YES		
FBRSL1	YES		
FCGR2A	YES		
FGF20	YES		
FYN	YES		
GAK	YES		
GALC	YES		
GBAP1	YES		
GBF1	YES		
GCH1	YES		
GPNMB	YES		
GS1-124K5.11	YES		
HIP1R	YES		
HLA-DRB5	YES		
IGSF9B	YES		
INPP5F	YES		
IP6K2	YES		
ITGA8	YES		
ITPKB	YES		
KCNIP3	YES		
KCNS3	YES		
KPNA1	YES		
KRTCAP2	YES		
LCORL	YES		
LINC00693	YES		
LOC100131289	YES		
LRRK2	YES	YES	
MAP4K4	YES		
MBNL2	YES		
MCCC1	YES		
MED12L	YES		
MEX3C	YES		
MIPOL1	YES		
NOD2	YES		
NUCKS1	YES		
PAM	YES		
PMVK	YES		
RAB29	YES		
RETREG3	YES		
RIMS1	YES		
RIT2	YES		
RNF141	YES		
RPS12	YES		
RPS6KL1	YES		
SATB1	YES		
SCAF11	YES		
SCARB2	YES		
SETD1A	YES		
SH3GL2	YES		
SIPA1L2	YES		
SNCA	YES	YES	YES
SPPL2B	YES		
SPTSSB	YES		
STK39	YES		
SYT17	YES		
TMEM163	YES		
TMEM175	YES		
TRIM40	YES		
UBAP2	YES		
UBTF	YES		
VAMP4	YES		
VPS13C	YES		
WNT3	YES		
VPS35		YES	
PRKN		YES	
PINK1		YES	
PARK7		YES	
APP			YES
MAPT			YES
