Sample	Replicate	Blot	GAPDH	H3K27ac	H3
Ctrl_1	1	1	15696639	13590640	55200754
DMSO_1	1	1	12129750	11802112	55853700
Sirtinol100_1	1	1	9948620	21944342	66817820
Sirtinol200_1	1	1	6324318	27769518	69478695
Sirtinol500_1	1	1	8290578	27930648	68776124
Ctrl_2	1	2	16442145	11651200	61781368
DMSO_2	1	2	14745579	10687655	66717980
Sirtinol100_2	1	2	10116808	19789944	67403540
Sirtinol200_2	1	2	9353960	27066360	57156736
Sirtinol500_2	1	2	3437607	22327940	49656960
Ctrl_3	1	3	10943650	10523391	40849820
DMSO_3	1	3	12649350	10090605	34808760
Sirtinol100_3	1	3	16284038	20652240	42065520
Sirtinol200_3	1	3	14565884	19814540	47184415
Sirtinol500_3	1	3	18472094	28417788	44205300
Ctrl_1	2	4	7990840	13611180	38477824
DMSO_1	2	4	9407826	14160413	40542848
Sirtinol100_1	2	4	11275362	24812037	43382773
Sirtinol200_1	2	4	16410230	30970632	63268628
Sirtinol500_1	2	4	17926740	30347442	78355316
Ctrl_2	2	5	20697976	9383240	26037520
DMSO_2	2	5	14666392	11791052	32754600
Sirtinol100_2	2	5	12445732	20243664	33468552
Sirtinol200_2	2	5	16565248	26749171	37160832
Sirtinol500_2	2	5	14329424	28432305	53643384
Ctrl_3	2	6	7990840	13611180	38477824
DMSO_3	2	6	13965924	13004892	51523101
Sirtinol100_3	2	6	18966582	25740231	51750592
Sirtinol200_3	2	6	19012620	26078295	55312929
Sirtinol500_3	2	6	16667840	23619052	52008032
